PRU	37.56	1.09	0.67	30.19
DAL	38.45	8.48	0.61	6.19
FANG	41.77	1.56	2.73	32.19
LVS	44.09	5.31	3.60	8.93
PM	238.76	5.48	5.98	7.69
DELL	98.64	5.76	0.97	8.08
NOW	179.27	1.63	14.15	22.44
CSCO	280.93	15.09	4.96	5.30
BKR	47.24	4.87	1.70	9.11
EXPE	30.52	7.61	2.12	6.64
ACN	153.57	4.05	2.20	7.36
KLAC	156.80	1.14	12.52	23.89
GS	246.69	1.83	1.86	17.00
SNPS	73.08	2.64	11.36	15.01
VICI	32.43	8.66	8.15	6.57
WMT	817.93	17.22	1.18	5.07
AXP	257.15	2.29	3.27	10.15
STT	33.05	1.62	1.44	19.64
INTU	180.90	1.70	9.61	15.63
CSGP	28.62	4.05	9.36	11.45
FOX	26.86	1.39	1.81	16.60
ZTS	52.99	5.01	5.64	8.33
UAL	31.54	5.98	0.54	6.23
PFG	18.64	1.37	1.26	18.02
RCL	69.82	1.55	4.00	18.60
GILD	147.46	9.04	5.07	6.04
WRB	28.49	1.60	1.94	12.32
EXPD	18.65	1.67	1.67	13.98
DAY	10.89	2.86	5.75	16.27
KIM	13.91	3.23	6.55	14.22
MOH	8.24	1.69	0.15	19.31
GRMN	38.70	1.14	5.57	20.44
MA	495.65	1.89	15.75	12.23
SPGI	150.32	1.70	10.01	13.69
BRO	26.82	2.56	5.03	12.05
FITB	28.34	9.14	2.21	5.62
MNST	68.09	14.11	8.54	4.94
EXR	28.27	0.87	8.57	27.64
AXON	47.25	1.05	18.47	33.44
HPE	30.92	20.30	0.94	3.50
WYNN	13.12	3.20	1.84	9.13
PTC	21.10	1.20	7.70	19.18
LULU	18.85	2.85	1.73	10.07
INCY	20.81	1.90	4.32	14.76
AON	74.87	1.04	4.40	17.36
ORLY	82.22	6.09	4.71	5.67
GD	93.42	1.21	1.81	12.88
HUM	30.31	1.47	0.24	10.70
GE	324.11	3.77	7.37	9.49
CNC	18.46	10.49	0.10	5.89
TKO	14.99	0.96	3.46	67.43
CME	99.70	2.16	15.59	9.88
CDNS	88.48	1.61	16.97	13.48
USB	73.63	5.54	1.78	5.14
CBRE	45.42	1.15	1.16	11.95
CMCSA	99.66	36.50	0.81	1.78
MCK	105.97	0.50	0.28	16.22
COST	408.94	2.00	1.49	8.17
VTR	33.66	3.27	6.06	9.48
HWM	83.18	2.28	10.43	11.90
CB	115.06	0.99	1.96	12.00
LUV	16.78	7.57	0.61	5.34
ALL	53.50	0.95	0.81	12.24
KDP	35.27	19.61	2.18	3.62
AKAM	12.01	9.14	2.91	4.70
MGM	8.93	3.63	0.52	6.66
EXC	46.69	7.03	1.92	5.99
SBUX	97.27	14.98	2.62	2.79
OMC	14.33	3.03	0.89	6.79
EG	13.68	0.51	0.78	18.06
MCO	87.73	0.66	11.70	19.81
MPWR	45.89	0.74	17.25	21.20
TROW	22.69	1.82	3.15	9.80
JNJ	449.50	4.81	4.88	4.30
BDX	50.97	2.50	2.33	8.23
DIS	199.10	7.25	2.11	2.77
GEN	15.87	9.18	3.55	3.55
TMUS	231.55	6.38	2.70	3.62
INVH	17.17	4.28	6.35	7.67
EW	48.96	2.62	8.32	8.57
VZ	168.78	28.34	1.23	0.61
RF	22.41	28.08	2.21	2.40
XYL	36.84	0.78	4.14	16.27
IVZ	10.40	4.37	1.66	6.13
ETN	145.34	2.53	5.46	7.25
IRM	30.78	1.68	4.64	12.22
XOM	494.34	12.07	1.49	1.36
MMC	88.59	2.13	3.35	7.57
MET	50.64	5.30	0.71	3.29
HCA	115.69	0.95	1.56	8.67
EME	29.07	0.33	1.79	15.76
AMP	42.87	0.43	9.52	18.00
PODD	22.51	0.68	8.93	22.07
TPR	21.58	6.18	3.08	5.09
HIG	36.06	1.07	1.30	8.44
CTAS	74.68	2.20	7.07	7.75
TRV	63.23	0.73	1.31	12.22
COR	69.93	1.04	0.22	9.31
CVS	100.27	3.18	0.25	4.20
RMD	36.86	1.32	7.01	9.84
KO	303.62	21.45	6.37	2.86
SYK	136.15	1.10	5.58	10.23
ROL	28.40	1.51	7.72	10.26
SMCI	23.63	32.83	1.12	0.00
BEN	11.54	8.05	1.34	3.45
TJX	160.95	4.57	2.78	3.95
WM	81.35	1.66	3.28	8.01
TT	96.35	0.78	4.58	12.22
MDT	118.26	4.79	3.46	3.62
AMAT	183.29	6.40	6.41	2.49
SO	100.56	3.77	3.48	5.83
HLT	63.53	1.67	5.41	9.17
TDG	72.40	0.21	8.44	20.52
ARE	9.61	2.94	3.18	7.29
TEL	71.41	1.58	4.18	7.85
ADSK	63.74	0.95	9.66	12.70
CL	63.49	7.43	3.16	3.31
ABBV	387.30	4.57	6.49	3.71
ADP	102.80	1.78	4.92	7.07
CINF	25.73	0.61	2.13	13.22
DG	21.84	3.06	0.52	4.96
VRTX	105.08	1.29	8.96	11.66
LHX	54.38	0.75	2.50	9.82
UHS	14.59	0.57	0.86	10.82
BLK	167.65	0.47	7.33	14.27
TTWO	42.80	5.79	6.88	5.31
ABT	219.94	3.50	5.02	4.59
TSLA	1383.18	101.47	14.46	0.95
ROP	48.12	0.77	6.23	13.94
LEN	31.00	3.66	0.89	3.53
T	176.03	55.63	1.41	-0.08
GLW	73.29	6.29	4.91	4.21
PAYX	40.33	3.51	6.96	5.56
HON	123.21	3.27	3.03	5.05
MAR	78.13	2.47	3.01	5.85
DLTR	22.49	2.93	1.03	4.75
EOG	57.55	6.17	2.55	0.85
MDLZ	73.81	8.70	1.96	1.18
DUK	96.16	4.65	3.04	4.46
YUM	41.39	1.91	5.23	6.68
AWK	25.53	1.14	5.04	10.63
BKNG	159.24	0.27	6.12	11.11
DVN	21.39	8.30	1.27	2.82
TSN	18.69	8.12	0.35	0.81
DD	39.83	5.67	3.19	2.64
SYY	36.45	3.01	0.44	3.20
L	21.23	0.49	1.16	11.69
HD	369.40	2.11	2.24	4.48
CTSH	35.98	4.50	1.72	1.98
HBAN	22.90	27.15	5.00	0.00
MSCI	45.10	0.38	14.76	12.94
FE	26.51	4.66	1.83	4.68
TER	29.28	3.63	10.24	5.36
FICO	41.77	0.25	20.98	15.91
UPS	81.37	7.73	0.91	0.16
LMT	107.27	2.02	1.46	5.14
CSX	65.81	11.27	5.00	0.00
EMR	72.88	3.83	4.05	3.00
FAST	46.89	5.11	5.86	2.71
EBAY	37.88	5.48	3.54	1.69
BAX	9.25	7.40	0.84	2.66
PEP	195.47	7.33	2.12	0.42
EVRG	17.40	2.75	2.96	6.16
FFIV	14.12	0.93	4.57	9.66
KVUE	32.35	43.69	2.16	0.07
EIX	21.95	1.65	1.21	7.72
ERIE	13.16	0.14	3.26	16.10
EFX	25.70	1.23	4.32	7.90
NVR	20.75	0.02	2.01	10.58
NWSA	15.17	6.01	1.78	2.42
MTCH	7.91	3.80	2.28	3.41
CBOE	26.85	0.97	5.82	8.51
REG	12.68	0.90	8.12	9.74
COO	13.99	1.30	3.46	8.41
REGN	67.91	0.69	4.77	8.27
TXT	14.46	1.10	1.02	6.47
DGX	20.06	1.02	1.85	6.70
RSG	64.31	1.00	3.90	7.13
GEV	156.04	2.82	4.14	5.10
IR	30.62	2.04	4.11	5.22
JCI	80.00	3.97	3.39	2.81
EQT	36.18	4.74	4.20	3.00
TRGP	36.94	1.66	2.14	6.45
LH	20.95	0.97	1.52	6.97
NTAP	22.55	1.76	3.42	4.85
ZBRA	13.15	0.78	2.50	8.66
GPN	18.65	1.96	2.10	4.68
PNW	10.53	1.12	1.98	9.13
IBM	286.38	4.15	4.38	1.44
PG	343.45	6.45	4.04	0.29
TSCO	28.76	3.57	1.10	3.38
